2025-05-13 18:08:00.714 INFO __main__:start:264 - Starting Pet Data Ingestion service
2025-05-13 18:08:00.729 INFO __main__:load_pet_data:58 - Loaded 5 pet records
2025-05-13 18:08:00.732 INFO __main__:ingest:199 - Initial run - Last processed timestamp: 0
2025-05-13 18:08:00.733 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.733 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.734 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.735 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.735 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.735 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.736 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.737 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.737 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.738 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.738 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.739 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.739 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.740 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.740 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.741 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.741 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.741 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.741 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.743 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.744 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.744 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.744 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.744 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.745 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.745 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.745 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.745 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.746 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.746 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.746 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.747 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.747 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.747 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.747 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.748 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.748 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.748 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.748 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.749 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.749 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.750 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.750 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.750 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.750 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.750 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.752 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.755 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.757 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.757 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.758 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.758 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.760 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
